Symbol,Company Name,Date,TobinsQ
AIV,Aimco,31-12-18,0.140431966
AIV,Aimco,29-12-17,0.145752699
AIV,Aimco,30-12-16,0.147429383
AIV,Aimco,31-12-14,0.122984875
APD,Air Products,30-12-22,2.571707504
APD,Air Products,31-12-21,2.567214348
APD,Air Products,31-12-20,2.440841114
APD,Air Products,31-12-19,2.793395779
APD,Air Products,31-12-18,1.868713911
APD,Air Products,29-12-17,1.955428329
APD,Air Products,30-12-16,1.747042044
APD,Air Products,31-12-15,1.624683405
AKAM,Akamai Technologies,30-12-22,1.595044042
AKAM,Akamai Technologies,31-12-21,2.308019718
AKAM,Akamai Technologies,31-12-20,2.204982965
AKAM,Akamai Technologies,31-12-19,1.997016774
AKAM,Akamai Technologies,31-12-18,1.825498843
AKAM,Akamai Technologies,29-12-17,2.394098539
AKAM,Akamai Technologies,30-12-16,2.667065196
AKAM,Akamai Technologies,31-12-15,2.216871085
ALK,Alaska Air Group,30-12-22,0.383381611
ALK,Alaska Air Group,31-12-21,0.470487162
ALK,Alaska Air Group,31-12-20,0.460170013
ALK,Alaska Air Group,31-12-19,0.64041557
ALK,Alaska Air Group,31-12-18,0.687523584
ALK,Alaska Air Group,29-12-17,0.842289339
ALK,Alaska Air Group,30-12-16,1.098089418
ALK,Alaska Air Group,31-12-15,1.534902878
ALB,Albemarle Corporation,30-12-22,1.665670263
ALB,Albemarle Corporation,31-12-21,2.493732874
ALB,Albemarle Corporation,31-12-20,1.589288839
ALB,Albemarle Corporation,31-12-19,0.786829721
ALB,Albemarle Corporation,31-12-18,1.075478704
ALB,Albemarle Corporation,29-12-17,1.823447251
ALB,Albemarle Corporation,30-12-16,1.186452073
ALB,Albemarle Corporation,31-12-15,0.653944196
ARE,Alexandria Real Estate Equities,30-12-22,0.740238512
ARE,Alexandria Real Estate Equities,31-12-21,1.167192519
ARE,Alexandria Real Estate Equities,31-12-20,1.072066014
ARE,Alexandria Real Estate Equities,31-12-19,1.066917209
ARE,Alexandria Real Estate Equities,31-12-18,0.884749526
ARE,Alexandria Real Estate Equities,29-12-17,0.987693206
ARE,Alexandria Real Estate Equities,30-12-16,0.946005028
ARE,Alexandria Real Estate Equities,31-12-15,0.736011886
ALXN,Alexion Pharmaceuticals,31-12-20,1.899598078
ALXN,Alexion Pharmaceuticals,31-12-19,1.366006635
ALXN,Alexion Pharmaceuticals,31-12-18,1.563976773
